5bbb0fb9-0c0e-45d4-ba61-c7f96512bd97, [14:03:03:419:50583419:419071000, Cliente 4]
ff00da2d-2b87-4d77-9d38-7e3954d7d97d, [14:03:03:419:50583419:419071000, Cliente 4]
171683d1-7a3e-4b02-8a39-e08d98af4998, [14:03:03:419:50583419:419071000, Cliente 4]
355b7ea4-406d-4827-bb3b-5c61d0934386, [14:03:03:419:50583419:419071000, Cliente 4]
9131bed9-9db0-41ed-8395-54284841eba3, [14:03:03:419:50583419:419071000, Cliente 4]
f7b554ce-1e6f-4278-9c3e-7213bab8bd85, [14:03:03:419:50583419:419071000, Cliente 4]
de8be41d-ffce-4fff-be86-778b49844b70, [14:03:03:419:50583419:419071000, Cliente 4]
9a620f89-13f1-442c-85bc-cda0e3b53dbe, [14:03:03:419:50583419:419071000, Cliente 4]
e4918ced-fddf-4bea-bb7f-e6909a50488a, [14:03:03:419:50583419:419071000, Cliente 4]
dbef63e8-185c-40f1-96fe-bb8d9963322a, [14:03:03:419:50583419:419071000, Cliente 4]
75512d30-c711-40d7-82e5-51dd9f7b6b0c, [14:03:03:419:50583419:419071000, Cliente 4]
99ed8436-eb12-4e1a-bdfd-2a5e2ad002d9, [14:03:03:419:50583419:419071000, Cliente 4]
d9dcda15-35a0-4e43-af6e-b2c9c5eed81e, [14:03:03:419:50583419:419071000, Cliente 4]
aee4cac7-b460-451d-816e-5ae2c687fad1, [14:03:03:419:50583419:419071000, Cliente 4]
f7ca05d7-30c5-4e44-9f8c-cb00e593623e, [14:03:03:419:50583419:419071000, Cliente 4]
ab4a7903-b23e-43a8-9204-855e2d608868, [14:03:03:419:50583419:419071000, Cliente 4]
0b0f2466-eb86-4721-b08f-82bdf0679ff5, [14:03:03:419:50583419:419071000, Cliente 4]
57ef988e-050d-4015-b0f2-fe761208eb94, [14:03:03:419:50583419:419071000, Cliente 4]
973dd348-9fc3-406e-8bae-cc596f184258, [14:03:03:419:50583419:419071000, Cliente 4]
2300c290-7735-43fb-a086-3e155d427713, [14:03:03:419:50583419:419071000, Cliente 4]
7ba0bf20-58a6-41f6-92b6-a70da94b9085, [14:03:03:419:50583419:419071000, Cliente 4]
83524533-9861-4c60-a18b-a2a5c5109518, [14:03:03:419:50583419:419071000, Cliente 4]
3b97a3ef-730b-4390-ad68-fe617650fbf0, [14:03:03:419:50583419:419071000, Cliente 4]
ce00f72c-20d6-481a-9fc0-c1ea41371e37, [14:03:03:419:50583419:419071000, Cliente 4]
3c7c81ae-e927-488a-8f3e-7a7f56cc5167, [14:03:03:419:50583419:419071000, Cliente 4]
66eae021-7b00-4878-8c4c-507aae701b83, [14:03:03:419:50583419:419071000, Cliente 4]
c582ee40-e5bd-4c3d-982c-a874b605a74b, [14:03:03:419:50583419:419071000, Cliente 4]
b312a9ef-e38f-48e0-8c20-f69ae8725e8b, [14:03:03:419:50583419:419071000, Cliente 4]
f9303a6a-81ec-4260-a52c-2e5215a74264, [14:03:03:419:50583419:419071000, Cliente 4]
80ee56b0-762e-4cfd-b1e8-5ecda7721171, [14:03:03:419:50583419:419071000, Cliente 4]
0121e15e-a0eb-459e-92e9-6aaf598fe841, [14:03:03:419:50583419:419071000, Cliente 4]
861de266-b2cd-40aa-9073-7d2ba2d6d904, [14:03:03:419:50583419:419071000, Cliente 4]
c0585e1a-3f2f-4664-832e-78a96627fc0c, [14:03:03:419:50583419:419071000, Cliente 4]
2c2fa9d0-006f-42a6-89d8-4403c3ad829c, [14:03:03:419:50583419:419071000, Cliente 4]
41dd2222-c02d-4f0e-bc41-f1134c0122a2, [14:03:03:419:50583419:419071000, Cliente 4]
0bd7f6ac-ebe6-4ae5-9a96-b93d318fa12d, [14:03:03:419:50583419:419071000, Cliente 4]
bdf90f3a-97d8-4711-be38-a6dcd4973d33, [14:03:03:419:50583419:419071000, Cliente 4]
69049f06-6335-4646-8b99-a2b2cfa57ac8, [14:03:03:419:50583419:419071000, Cliente 4]
5ae10a11-a2b5-4f9c-a768-6357727d8617, [14:03:03:419:50583419:419071000, Cliente 4]
96ade6ed-df8a-4892-90a7-ac5e7f1bf7eb, [14:03:03:419:50583419:419071000, Cliente 4]
1c583a9d-23a9-4a75-8e7b-b34b2ada4e75, [14:03:03:419:50583419:419071000, Cliente 4]
2c6bac00-79ab-415e-b845-34cf843a7895, [14:03:03:419:50583419:419071000, Cliente 4]
bb44b99e-4509-440c-a537-b114bbfb6237, [14:03:03:419:50583419:419071000, Cliente 4]
c52376cb-e67a-4e2e-8d9e-8e506032d68e, [14:03:03:419:50583419:419071000, Cliente 4]
5c5162bb-2bbd-463f-8e17-720b0a41b9fe, [14:03:04:427:50584427:427510000, Cliente 5]
9677509d-d19a-486d-835e-67821ddabda0, [14:03:04:427:50584427:427510000, Cliente 5]
89f2c1fb-a7e2-495b-bd9c-4d545b81ba95, [14:03:04:427:50584427:427510000, Cliente 5]
a64d4132-bf2c-49c1-a501-3648025883ab, [14:03:04:427:50584427:427510000, Cliente 5]
9445a8e8-bf51-4ffc-ac8d-a5100661d0c1, [14:03:04:427:50584427:427510000, Cliente 5]
48318e82-153c-4938-a4b3-e8083cd5a635, [14:03:04:427:50584427:427510000, Cliente 5]
