2b4755d8-48be-4ff8-b1ac-b6a9fb86fb58, [19:31:40:014:70300014:014862000, Cliente 7]
07ba89ab-cde7-483a-a50e-164af6de4955, [19:31:40:014:70300014:014862000, Cliente 7]
198b72b9-93a1-4880-8999-3e176683efd4, [19:31:40:014:70300014:014862000, Cliente 7]
6f74c9d5-e274-491e-842d-ae5ecb286678, [19:31:40:014:70300014:014862000, Cliente 7]
6f309eef-a97e-4184-9d31-6126c22c99af, [19:31:40:014:70300014:014862000, Cliente 7]
b1b1a296-74ac-425f-966f-715a92bf92c8, [19:31:40:014:70300014:014862000, Cliente 7]
02e46929-02d1-4a21-9caf-26961bf1debb, [19:31:40:014:70300014:014862000, Cliente 7]
2a1b5c15-e422-4090-9cb7-58ed132f9f5b, [19:31:40:014:70300014:014862000, Cliente 7]
5a76cb94-dc29-482f-b2bd-32fc24ec59f1, [19:31:40:014:70300014:014862000, Cliente 7]
abd1c2ab-b9a0-43ae-9f07-223fb5ae553c, [19:31:40:014:70300014:014862000, Cliente 7]
2794dc69-bb0d-486e-8b19-2b8462e897b2, [19:31:40:014:70300014:014862000, Cliente 7]
f141aa01-bfc0-44ca-a03b-cb591e07e259, [19:31:40:014:70300014:014862000, Cliente 7]
bc482869-c32d-411c-94c8-d94e69d16d45, [19:31:40:014:70300014:014862000, Cliente 7]
d5c0c186-990b-41d3-89b2-c19042485800, [19:31:40:014:70300014:014862000, Cliente 7]
9c6bff9a-af92-4cfa-96dd-c107143b61cc, [19:31:40:014:70300014:014862000, Cliente 7]
184470fc-2f1f-4f64-8105-e7e47311c6a7, [19:31:40:014:70300014:014862000, Cliente 7]
b8f4fe54-b683-4028-9107-ca6787693b3e, [19:31:40:014:70300014:014862000, Cliente 7]
83100398-3fa8-42bc-b00e-ae1b70ba23cb, [19:31:40:014:70300014:014862000, Cliente 7]
8eda5f72-df94-4bcc-85cc-8d73849fcbea, [19:31:40:014:70300014:014862000, Cliente 7]
ffebf0cc-2c93-4850-bbe7-e4ca31cab037, [19:31:40:014:70300014:014862000, Cliente 7]
2bd4bce3-d0ef-4e76-bd64-02f543cba846, [19:31:40:014:70300014:014862000, Cliente 7]
184cbff6-72e4-46f0-b25f-545195963401, [19:31:40:014:70300014:014862000, Cliente 7]
828f161c-a405-4395-9672-7498d27e7ba8, [19:31:40:014:70300014:014862000, Cliente 7]
9bcc5255-367b-45b0-8a1f-1cc697dfb30d, [19:31:41:026:70301026:026373000, Cliente 8]
3833f60a-93e7-4b0e-806a-c8175c467231, [19:31:41:026:70301026:026373000, Cliente 8]
b870804c-1f3a-490c-9c45-ca572732fab9, [19:31:41:026:70301026:026373000, Cliente 8]
1483f910-c976-468b-82da-7d41682c8145, [19:31:41:026:70301026:026373000, Cliente 8]
499699ab-82fb-4821-8ca5-0919029cb20c, [19:31:41:026:70301026:026373000, Cliente 8]
d1079f47-2a2e-4989-838e-1029d93bba01, [19:31:41:026:70301026:026373000, Cliente 8]
5a5bcd2d-9b82-4d78-85aa-8a324da678f6, [19:31:41:026:70301026:026373000, Cliente 8]
49960c41-15b0-4dea-a3cb-1225793a3f57, [19:31:41:026:70301026:026373000, Cliente 8]
ad8c8cdc-ba5b-4804-b89d-3090f9a38f97, [19:31:41:026:70301026:026373000, Cliente 8]
b46711be-4ca3-42ef-83a2-b782d0146b6a, [19:31:41:026:70301026:026373000, Cliente 8]
a39ecb56-0ebb-4e3c-bf6a-c4e0bae03212, [19:31:41:026:70301026:026373000, Cliente 8]
49412ec5-31c3-49ec-939a-fede3aa68774, [19:31:41:026:70301026:026373000, Cliente 8]
48e6e296-f54f-45c4-b021-cd65fdb81525, [19:31:41:026:70301026:026373000, Cliente 8]
164d0a0c-52e7-4a9e-9ae2-4afd609eb195, [19:31:41:026:70301026:026373000, Cliente 8]
04843e39-21e4-4fcb-8804-d7d229d5505b, [19:31:41:026:70301026:026373000, Cliente 8]
9fd5bd52-e76d-4f22-bb18-74eb281e4a4f, [19:31:41:026:70301026:026373000, Cliente 8]
df9b6bbd-9983-4c60-8362-70a9f14f6afe, [19:31:41:026:70301026:026373000, Cliente 8]
1385462f-d376-49b2-9354-fda51f2ef22d, [19:31:41:026:70301026:026373000, Cliente 8]
71bacdcf-0f13-40dd-95c2-fc5dde4a3d7f, [19:31:41:026:70301026:026373000, Cliente 8]
bfd74480-9c40-4077-96dd-99c7d4e5b52d, [19:31:41:026:70301026:026373000, Cliente 8]
985f02f4-758a-4048-b54f-435f96f897f4, [19:31:41:026:70301026:026373000, Cliente 8]
d365cb1a-a121-4691-8416-570ecd1d8da4, [19:31:41:026:70301026:026373000, Cliente 8]
15253b86-5488-47e9-9431-b3fb21549398, [19:31:41:026:70301026:026373000, Cliente 8]
e66a8110-6fa0-431e-af0c-b1cfb6b18949, [19:31:41:026:70301026:026373000, Cliente 8]
